,cpdr_respondent_nation_economy,cpdr_respondent_nation,cpdr_complainant_nation_economy,cpdr_means_of_resolution,cpdr_case_status,cpdr_respondent_type,cpdr_complainant_type,cpdr_complainant_nation,cpdr_provenience_nation,cpdr_object_material,cpdr_object_type
2002 Egyptian Ma'adi Vessels,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Company,Public: Government,Egypt,Egypt,stone,
Royal Duck Vessel of Amenemhat III,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Company,Public: Government,Egypt,Egypt,,
Colossal Eye of  Amenhotep III,Developed,Germany,In Transition,Private Negotiation,Object(s) relinquished,Private: Individual,Public: Government,Egypt,Egypt,stone,Statue
Shabti of Hener,Developed,,In Transition,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,Egypt,Egypt,,
2003 Nok Terracotta Janus Head,Developed,United Kingdom,Developed,Inquiry/Demand,Object(s) not relinquished,Private: Company,Private: Individual,Netherlands,,,
Kenyan Vigango of Mwakiru,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Institution,Public: Institution,Kenya,Kenya,,
Statue of Sekhemka,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Public: Government,Egypt,Egypt,,
Limestone Block from the Tomb of Imep-Hor,Developed,Spain,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Company,Public: Government,Egypt,Egypt,stone,
2006 Royal Duck Vessel of Amenemhat III,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Company,Public: Government,Egypt,Egypt,,
Benin Bronze Decorative Plaque,Developed,Austria,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Public: Government,Nigeria,Nigeria,metal,Plaque or Tablet
2013 Statue of Ibis Bird and Monarch's Bell,Developed,United Kingdom,In Transition,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,Nigeria,Nigeria,,
Romanian Four DacianGold Bracelets,Developed,United States,In Transition,Private Negotiation,Object(s) relinquished,Private: Individual,Public: Government,Romania,Romania,,
Romanian One Dacian Gold Bracelet,Developed,France,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Romania,Romania,,
Romanian Three Dacian Gold Bracelet,Developed,United States,In Transition,Private Negotiation,Object(s) relinquished,Private: Individual,Public: Government,Romania,Romania,,
Romanian Three Dacian Gold Bracelets II,Developed,Switzerland,In Transition,Private Negotiation,Object(s) relinquished,Private: Individual,Public: Government,Romania,Romania,,
Romanian Three Dacian Gold Bracelets III,Developed,United States,In Transition,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,Romania,Romania,metal,
Sarmizeget Collection of Romanian Artifacts,Developed,Germany,In Transition,Private Negotiation,Object(s) relinquished,Private: Individual,Public: Government,Romania,Romania,,
Hades Terracotta Sculpture,Developed,United States,Developed,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Italy,Italy,ceramic,
Mexican Colonial Era Manuscript,Developed,United States,In Transition,Litigation,Object(s) relinquished,Private: Individual,Public: Institution,Mexico,,,
200 Works of Art and 1000 Ethnographic Items from Congo,Developed,Belgium,In Transition,Private Negotiation,Object(s) relinquished,Public: Institution,Public: Government,Congo (Kinshasa),Congo(Kinshasa),,
8 Nigerian Bronze and Terracotta Objects,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Institution,Public: Government,Nigeria,Nigeria,,
Montunui Wood Panels,Developed,Switzerland,Developed,Private Negotiation,Object(s) relinquished,Private: Individual,Public: Government,New Zealand,NewZealand,wood,
Ngati Tarawhai Pou Tokomanawa,Developed,Italy,Developed,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,New Zealand,NewZealand,wood,
Royal Rickshaw of King Thanh Thai,Developed,France,In Transition,Private Negotiation,Object(s) not relinquished,Public: Government,Public: Government,Vietnam,Vietnam,wood,
Royal Bed of King Tanh Thai,Developed,France,In Transition,Private Negotiation,Object(s) not relinquished,Public: Government,Public: Government,Vietnam,Vietnam,wood,
Headless Stone Statue of King Entemena Lagash,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Iraq,Iraq,,
Tyndareus Memorial Stone,Developed,United Kingdom,Developed,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,China,China,stone,
Bronze Spirit Tree Candelabra from Tomb along Yangtzee,Developed,United States,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,China,China,metal,
Koh-i-Noor Diamond,Developed,United Kingdom,Developing,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,India,India,gemstones,Gemstone
8 Russian Imperial and Military Documents,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Russia,Russia,,
2013 Nineteenth Century Ammunition Speed Loader,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Afghanistan,Afghanistan,,
Art Gallery of the Emperor's Hermitage Catalog,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Russia,Russia,,
Pendant of Peter the Great,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Russia,,,
28 Historical Russian Documents,Developed,United States,Developed,Inquiry/Demand,Object(s) relinquished,Private: Company,Public: Government,Russia,Russia,paper,Manuscript
Bust of Nefertiti,Developed,Germany,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,Egypt,Egypt,,
"7,400 Bogazkoy Cuneiform Tablets",Developed,Germany,Developed,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Turkey,Turkey,terracotta,Plaque or Tablet
Head of Akshobhya Buddha,Developed,Taiwan,In Transition,Sua sponte donation,Object(s) not relinquished,Public: Government,Public: Government,China,China,,
1997 Vietnam Ceramics,Developed,Japan,In Transition,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Vietnam,Vietnam,,
Nepali Monastary Pangboche Hand,Developed,New Zealand,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Individual,Public: Government,Nepal,Nepal,,
Bogazkoy Sphinx,Developed,Germany,Developed,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Turkey,Turkey,stone,Sphinx
2008 145 Romanian Gold Coins,Developed,United Kingdom,In Transition,Litigation,Object(s) relinquished,Public: Government,Public: Government,Romania,,,
Turcat-Mery Roadster,Developed,United States,Developed,Litigation,Object(s) relinquished,Public: Government,Public: Government,France,France,,
Bust of Saint Innocent,Developed,United States,Developed,Litigation,Object(s) relinquished,Public: Government,Public: Government,Italy,Italy,,
Angkor Wat Stone Penis of Eavso,In Transition,Thailand,In Transition,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,Cambodia,Cambodia,,
"2002 Angkor Wat Vases, Plates and Cups",In Transition,Thailand,In Transition,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,Cambodia,Cambodia,,
2002 Angkor Wat Group of 95 Artifacts,In Transition,Thailand,In Transition,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,Cambodia,Cambodia,,
Yuanmingyuan Bronze Zodiac Pig Head,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Company,Public: Government,China,China,metal,Timepiece
Yuanmingyuan Bronze Horse Head,Developed,China,In Transition,Private Negotiation,Object(s) relinquished,Private: Company,Public: Government,China,China,metal,Statue
Bronze Reliquary of a Cat,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Institution,Public: Government,Egypt,,metal,
173 Cyprian Artifacts,Developed,Germany,Developed,Litigation,Object(s) relinquished,Public: Government,Public: Institution,Cyprus,Cyprus,,
2013 8 Antique Italian Books,Developed,United States,Developed,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Institution,Italy,Italy,,
Kikuyu Ivory Carving,In Transition,,In Transition,Private Negotiation,Object(s) not relinquished,Private: Individual,Public: Institution,Kenya,Kenya,,
Samburu Neck Piece,Developed,Canada,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Institution,Kenya,Kenya,,
2012 South African Artwork Collection,In Transition,South Africa,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Individual,Public: Institution,South Africa,SouthAfrica,,
Afo-A-Kom,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,Cameroon,Cameroon,wood,Statue
2002 Benin Artifacts,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Institution,Nigeria,Nigeria,,
Man-eaters of Tsavo,Developed,United States,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Public: Institution,Kenya,Kenya,,
Kenyan Walking Stick and Baton,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Individual,Private: Individual,Kenya,Kenya,,
Regalia of Oba Ovonramwen,Developed,United Kingdom,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Institution,Nigeria,Kenya,,
2000 Benin Artifacts,Developed,United Kingdom,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Institution,Nigeria,Nigeria,,
"Ban Chiang Stone Pots, Beakers, and Rollers",Developed,United States,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,Thailand,Thailand,stone,
"Ban Chiang Stone Jars, Ear Ornaments, and Glass",Developed,United States,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,Thailand,Thailand,stone,
Ban Chiang 8 Stone Artifacts,Developed,United States,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,Thailand,Thailand,stone,
Ban Chiang 1000 Stone Artifacts,Developed,United States,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,Thailand,Thailand,stone,
Angkor Wat 7 Bas-Reliefs,Developed,France,In Transition,Litigation,Object(s) relinquished,Private: Individual,Public: Government,Cambodia,Cambodia,stone,
43 Cambodian Sandstone Artifacts,In Transition,Thailand,In Transition,Private Negotiation,Object(s) not relinquished,Public: Government,Public: Government,Cambodia,Cambodia,stone,
Ankor Wat Apsara Head Fragment,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Cambodia,Cambodia,,
Esie Statute,Developed,France,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Government,Public: Government,Nigeria,,,
2010 5 Nigerian Nok Terracottas,Developed,France,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Nigeria,Nigeria,ceramic,
2009 Ife Bronze Heads,Developed,France,In Transition,Sua sponte donation,Object(s) relinquished,Public: Institution,Public: Government,Nigeria,Nigeria,metal,
Algerian Roman Gorgon Mask,In Transition,Tunisia,In Transition,Litigation,Object(s) relinquished,Public: Institution,Public: Government,Algeria,Algeria,,
"Ban Chiang Group of 33 Vessels,Bronze Bracelets, Bells, and Ladles",Developed,United States,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,Thailand,Thailand,metal,
Ban Chiang Ceramic Artifacts Group,Developed,United States,In Transition,Inquiry/Demand,Object(s) not relinquished,Private: Institution,Public: Government,Thailand,Thailand,ceramic,
Angkor Head of Demona,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Cambodia,Cambodia,stone,
Canadian G'psgolox Totem,Developed,Sweden,Developed,Inquiry/Demand,Object(s) relinquished,Public: Institution,Private: Institution,Canada,Canada,wood,
Ai Khanoum Two Rare Coins,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Private: Individual,Public: Government,Afghanistan,Afghanistan,metal,Coin
Hojo Currency Plate from Deoksu Palace,Developed,United States,Developed,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,South Korea,SouthKorea,metal,
Han Dynasty Ceremaic Figurines from Xi'an Tomb,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,China,China,ceramic,
"Yuanmingyuan Bronze Heads of Monkey, Ox, and Tiger",Developed,United States,In Transition,Private Negotiation,Object(s) relinquished,Private: Company,Public: Government,China,China,,
Yuanmingyuan Porcelain Qing Dynasty Vase,Developed,United States,In Transition,Private Negotiation,Object(s) relinquished,Private: Company,Public: Government,China,China,ceramic,
Cambodian Lokesvara Bas-relief,In Transition,Thailand,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Cambodia,Cambodia,stone,
Angkor Head of Shiva,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Cambodia,Cambodia,stone,
Peruvian Burial Textiles,Developed,Sweden,In Transition,Sua sponte donation,Object(s) relinquished,Public: Institution,Public: Government,Peru,Peru,fabric/cloth,
Tetiky Tomb Wall Paintings,Developed,France,In Transition,Private Negotiation,Object(s) relinquished,Public: Institution,Public: Government,Egypt,Egypt,,
Angkor 10 Kg Animal Stone Head,In Transition,Thailand,In Transition,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,Cambodia,Cambodia,,
Angkor Ganesh Stone Statue,In Transition,Thailand,In Transition,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,Cambodia,Cambodia,,
Angkor Stone Buddha Statue,In Transition,Thailand,In Transition,Private Negotiation,Object(s) relinquished,Public: Government,Public: Government,Cambodia,Cambodia,stone,
Bronze Bell from the Palace of Good Harvest,In Transition,India,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,China,China,metal,
Bronze Siva Naratja from Arul Thiru Viswanathaswamy Temple,Developed,United Kingdom,In Transition,Litigation,Object(s) relinquished,Private: Company,Public: Government,India,India,metal,
Bronze and Gold Buddha from Forbidden City in Beijing,In Transition,Namibia,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,China,China,metal,
Houma Bronze Urn,In Transition,Namibia,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,China,China,metal,
Yuanmingyuan White Jade Imperial Seal,Developed,France,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Government,Public: Government,China,China,stone,
Pompeii Column Krater,Developed,United States,Developed,Litigation,Object(s) relinquished,Public: Government,Public: Government,Italy,Italy,,
11 Oil Paintings,Developed,United States,Developed,Action by Respondent's Govt.,Object(s) relinquished,Private: Individual,Public: Government,Germany,,paint,Painting
2009 Three Bronze Bracelets,Developing,,Developing,Sua sponte donation,Object(s) relinquished,Public: Institution,Public: Government,Mali,,metal,
Benin Commemorative Head of a Queen Mother,Developed,United States,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Public: Institution,Nigeria,Nigeria,,
2008 Benin Bronze II,Developed,United States,In Transition,Inquiry/Demand,Object(s) not relinquished,Public: Institution,Public: Institution,Nigeria,Nigeria,metal,
Kenyan Vigango,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Private: Individual,Public: Government,Kenya,Kenya,,
Kenyan Kigango for Mwakiru's Dead Brothers,Developed,United States,In Transition,Inquiry/Demand,Object(s) relinquished,Public: Institution,Public: Government,Kenya,Kenya,,
"The Fishmarket, Monotype Print",Developed,United States,Developed,Litigation,Object(s) relinquished,Public: Government,Public: Institution,France,France,,
"Fisherman's Daughter, Oil Painting",Developed,United States,Developed,Litigation,Object(s) relinquished,Public: Government,Public: Institution,France,France,paint,
"The Hunt, Oil Painting",Developed,United States,Developed,Litigation,Object(s) relinquished,Public: Government,Public: Institution,Poland,Poland,paint,Painting
"Off to the Hunt, Oil Painting",Developed,United States,Developed,Litigation,Object(s) relinquished,Public: Government,Public: Institution,Poland,Poland,paint,Painting
Banchisseuses Souffrant Des Dents,Developed,United States,Developed,Litigation,Object(s) relinquished,Public: Government,Public: Institution,France,France,,
Doman and Baronage of Venafro,Developed,United States,Developed,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,Italy,Italy,,
Horse Sculpture from Chinese Tomb,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,China,China,,
Horse with Riders Sculptures from Chinese Tomb,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,China,China,,
Limestone Buddha from Northern Chinese Temple,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,China,China,stone,
Terracotta Horse Sculptures from Northern Chinese Temple,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,China,China,ceramic,
Bodhisattva Head Sculpture,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,China,China,stone,
Ming Dynasty Stone Frieze,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,China,China,stone,
Qing Dynasty Ceramic Base,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,China,China,ceramic,
Paleovertebrate Fossils from China,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,China,,,
Cambodian Bronze Jewelry,Developed,Australia,In Transition,Sua sponte donation,Object(s) relinquished,Private: Institution,Public: Government,Cambodia,Cambodia,metal,
Ancient Korean Illustrated Royal Uigwe Manuals,Developed,France,Developed,Private Negotiation,Unresolved,Public: Government,Public: Government,South Korea,,paper,Book
2011 Group of Chinese Artifacts,Developed,United States,In Transition,Sua sponte donation,Object(s) relinquished,Public: Government,Public: Government,China,China,,
