,cpdr_respondent_nation_economy,cpdr_respondent_nation,cpdr_complainant_nation_economy,cpdr_means_of_resolution,cpdr_case_status,cpdr_respondent_type,cpdr_complainant_type,cpdr_complainant_nation,cpdr_provenience_nation,cpdr_object_material,cpdr_object_type
New Zealand,,,,,,,,3.0,,,
United Kingdom,,,,,,,,3.0,,,
Hungary,,,,,,,,2.0,,,
Australia,,,,,,,,2.0,,,
Ethiopia,,,,,,,,2.0,,,
Mali,,,,,,,,2.0,,,
Indonesia,,,,,,,,2.0,,,
Greenland,,,,,,,,2.0,,,
Bolivia,,,,,,,,2.0,,,
Lebanon,,,,,,,,1.0,,,
Ghana,,,,,,,,1.0,,,
Panama,,,,,,,,1.0,,,
Chile,,,,,,,,1.0,,,
Palestine,,,,,,,,1.0,,,
Sri Lanka,,,,,,,,1.0,,,
Yemen,,,,,,,,1.0,,,
Democratic Republic of the Congo,,,,,,,,1.0,,,
Benin,,,,,,,,1.0,,,
Armenia,,,,,,,,1.0,,,
Cameroon,,,,,,,,1.0,,,
Iceland,,,,,,,,1.0,,,
Libya,,,,,,,,1.0,,,
Zimbabwe,,,,,,,,1.0,,,
Syria,,,,,,,,1.0,,,
Namibia,,,,,,,,1.0,,,
Spain,,,,,,,,1.0,,,
Bulgaria,,,,,,,,1.0,,,
Canada,,,,,,,,1.0,,,
Algeria,,,,,,,,1.0,,,
South Africa,,,,,,,,1.0,,,
Congo (Kinshasa),,,,,,,,1.0,,,
Netherlands,,,,,,,,1.0,,,
Estonia,,,,,,,,1.0,,,
Switzerland,,,,,,,,1.0,,,
Italy,,,,,,,,,64.0,,
Egypt,,,,,,,,,35.0,,
Cambodia,,,,,,,,,32.0,,
Iraq,,,,,,,,,31.0,,
China,,,,,,,,,30.0,,
Turkey,,,,,,,,,17.0,,
Nigeria,,,,,,,,,17.0,,
Greece,,,,,,,,,14.0,,
Thailand,,,,,,,,,13.0,,
India,,,,,,,,,13.0,,
Mexico,,,,,,,,,11.0,,
SouthKorea,,,,,,,,,9.0,,
Cyprus,,,,,,,,,9.0,,
Japan,,,,,,,,,9.0,,
Nepal,,,,,,,,,9.0,,
Kenya,,,,,,,,,9.0,,
Romania,,,,,,,,,6.0,,
Peru,,,,,,,,,5.0,,
Russia,,,,,,,,,5.0,,
Vietnam,,,,,,,,,5.0,,
Guatemala,,,,,,,,,4.0,,
Iran,,,,,,,,,4.0,,
Afghanistan,,,,,,,,,4.0,,
France,,,,,,,,,4.0,,
Poland,,,,,,,,,4.0,,
Netherlands,,,,,,,,,3.0,,
Germany,,,,,,,,,3.0,,
Bolivia,,,,,,,,,3.0,,
United States Tribal Nations,,,,,,,,,3.0,,
Ecuador,,,,,,,,,3.0,,
NewZealand,,,,,,,,,3.0,,
Ethiopia,,,,,,,,,2.0,,
Benin,,,,,,,,,2.0,,
Australia,,,,,,,,,2.0,,
Yemen,,,,,,,,,2.0,,
UnitedStates,,,,,,,,,2.0,,
Bulgaria,,,,,,,,,2.0,,
Syria,,,,,,,,,1.0,,
Democratic Republic of the Congo,,,,,,,,,1.0,,
Ghana,,,,,,,,,1.0,,
Chile,,,,,,,,,1.0,,
Lebanon,,,,,,,,,1.0,,
Armenia,,,,,,,,,1.0,,
Palestine,,,,,,,,,1.0,,
Cameroon,,,,,,,,,1.0,,
Mali,,,,,,,,,1.0,,
Greenland,,,,,,,,,1.0,,
Hungary,,,,,,,,,1.0,,
Namibia,,,,,,,,,1.0,,
Spain,,,,,,,,,1.0,,
Canada,,,,,,,,,1.0,,
Algeria,,,,,,,,,1.0,,
SouthAfrica,,,,,,,,,1.0,,
Congo(Kinshasa),,,,,,,,,1.0,,
Indonesia,,,,,,,,,1.0,,
Panama,,,,,,,,,1.0,,
stone,,,,,,,,,,116.0,
metal,,,,,,,,,,65.0,
wood,,,,,,,,,,31.0,
terracotta,,,,,,,,,,25.0,
ceramic,,,,,,,,,,23.0,
paint,,,,,,,,,,19.0,
paper,,,,,,,,,,14.0,
gemstones,,,,,,,,,,3.0,
fabric/cloth,,,,,,,,,,2.0,
vellum,,,,,,,,,,2.0,
ivory,,,,,,,,,,2.0,
silver,,,,,,,,,,2.0,
wool,,,,,,,,,,2.0,
bark,,,,,,,,,,1.0,
marble,,,,,,,,,,1.0,
shell,,,,,,,,,,1.0,
plaster,,,,,,,,,,1.0,
gold,,,,,,,,,,1.0,
turquoise,,,,,,,,,,1.0,
watercolor,,,,,,,,,,1.0,
papier-mâché,,,,,,,,,,1.0,
oil,,,,,,,,,,1.0,
steel,,,,,,,,,,1.0,
leather,,,,,,,,,,1.0,
tempera,,,,,,,,,,1.0,
glass,,,,,,,,,,1.0,
Statue,,,,,,,,,,,46.0
Sculpture,,,,,,,,,,,26.0
Vessel,,,,,,,,,,,24.0
Painting,,,,,,,,,,,13.0
Stele,,,,,,,,,,,9.0
Weapon,,,,,,,,,,,9.0
Manuscript,,,,,,,,,,,8.0
Religious Icon,,,,,,,,,,,7.0
Food/Drink Container,,,,,,,,,,,6.0
Plaque or Tablet,,,,,,,,,,,6.0
Coin,,,,,,,,,,,4.0
Jewelry,,,,,,,,,,,4.0
Textile,,,,,,,,,,,4.0
Figurine,,,,,,,,,,,4.0
Book,,,,,,,,,,,4.0
Mask,,,,,,,,,,,4.0
Sphinx,,,,,,,,,,,4.0
Vase,,,,,,,,,,,4.0
Funerary Object,,,,,,,,,,,3.0
Mosaic,,,,,,,,,,,3.0
Strut,,,,,,,,,,,3.0
Seal,,,,,,,,,,,3.0
Relief,,,,,,,,,,,3.0
Timepiece,,,,,,,,,,,2.0
Music Score,,,,,,,,,,,2.0
Cylinder Seal,,,,,,,,,,,2.0
Tool,,,,,,,,,,,2.0
Weight,,,,,,,,,,,1.0
Panel,,,,,,,,,,,1.0
Belt,,,,,,,,,,,1.0
Throne,,,,,,,,,,,1.0
Storage container,,,,,,,,,,,1.0
Cutlery,,,,,,,,,,,1.0
Totem Pole,,,,,,,,,,,1.0
Column,,,,,,,,,,,1.0
Necklace,,,,,,,,,,,1.0
Shield,,,,,,,,,,,1.0
Fresco,,,,,,,,,,,1.0
Firearm,,,,,,,,,,,1.0
Print,,,,,,,,,,,1.0
Game,,,,,,,,,,,1.0
Armor,,,,,,,,,,,1.0
Mural,,,,,,,,,,,1.0
Tombstone,,,,,,,,,,,1.0
Gemstone,,,,,,,,,,,1.0
Window,,,,,,,,,,,1.0
